Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
6 Speed Automatic Select Shift,Audi 3.2L 6 cylinder 250hp 236ft-lbs,250,236,FALSE,6,All-wheel drive,Audi,2009 Audi A3,2009 Audi A3 3.2,Automatic transmission,2009,202,143,140,25,18,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,Front-wheel drive,Audi,2009 Audi A3,2009 Audi A3 2.0 T AT,Automatic transmission,2009,202,143,140,28,22,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,Front-wheel drive,Audi,2009 Audi A3,2009 Audi A3 2.0 T,Manual transmission,2009,202,143,140,30,21,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,All-wheel drive,Audi,2009 Audi A3,2009 Audi A3 2.0 T Quattro,Automatic transmission,2009,202,143,140,28,21,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,All-wheel drive,Audi,2009 Audi A3,2009 Audi A3 2.0 T Quattro,Automatic transmission,2009,202,143,140,28,21,Gasoline
6 Speed Manual,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,265,243,FALSE,6,All-wheel drive,Audi,2009 Audi A5,2009 Audi A5 3.2,Manual transmission,2009,62,17,91,27,16,Gasoline
6 Speed Automatic Select Shift,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,265,243,FALSE,6,All-wheel drive,Audi,2009 Audi A5,2009 Audi A5 3.2 AT,Automatic transmission,2009,62,17,91,26,17,Gasoline
6 Speed Automatic Select Shift,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,350,325,FALSE,6,All-wheel drive,Audi,2009 Audi Q7,2009 Audi Q7 4.2,Automatic transmission,2009,191,221,201,18,13,Gasoline
6 Speed Automatic Select Shift,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,280,266,FALSE,6,All-wheel drive,Audi,2009 Audi Q7,2009 Audi Q7 3.6,Automatic transmission,2009,191,221,201,20,14,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2009 Audi A4 Sedan,2009 Audi A4 Sedan 2.0 T Quattro,Manual transmission,2009,34,96,147,30,22,Gasoline
6 Speed Automatic Select Shift,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,211,258,FALSE,6,All-wheel drive,Audi,2009 Audi A4 Sedan,2009 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission,2009,34,96,147,27,21,Gasoline
6 Speed Automatic Select Shift,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,265,243,FALSE,6,All-wheel drive,Audi,2009 Audi A4 Sedan,2009 Audi A4 Sedan 3.2,Automatic transmission,2009,34,96,147,26,17,Gasoline
6 Speed Automatic Select Shift,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,280,254,FALSE,6,Front-wheel drive,Acura,2012 Acura TL,2012 Acura TL,Automatic transmission,2012,87,63,172,29,20,Gasoline
6 Speed Automatic Select Shift,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,305,273,FALSE,6,All-wheel drive,Acura,2012 Acura TL,2012 Acura TL SH-AWD,Automatic transmission,2012,87,63,172,26,18,Gasoline
6 Speed Automatic Select Shift,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,555,500,FALSE,6,All-wheel drive,BMW,2010 BMW X5,2010 BMW X5 M SUV,Automatic transmission,2010,201,243,226,17,12,Gasoline
